id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
116,390775.000099999830127,557775.000099999830127,395775.000099999830127,552775.000099999830127,393275.000099999830127,555275.000099999713711,"0","0","3363","7754","233","19829","0","0","1973","6654","0","0","0","0","0","194"
117,390775.000099999830127,552775.000099999830127,395775.000099999830127,547775.000099999830127,393275.000099999830127,550275.000099999713711,"0","0","1563","2545","0","10194","0","0","8632","16930","0","0","0","0","0","136"
118,390775.000099999830127,547775.000099999830127,395775.000099999830127,542775.000099999830127,393275.000099999830127,545275.000099999713711,"-9999","0","68","1323","0","2624","0","0","12139","23669","15","6","0","49","0","107"
119,390775.000099999830127,542775.000099999830127,395775.000099999830127,537775.000099999830127,393275.000099999830127,540275.000099999713711,"-9999","17800","636","202","0","4787","0","0","16424","0","0","62","0","0","0","89"
120,390775.000099999830127,537775.000099999830127,395775.000099999830127,532775.000099999830127,393275.000099999830127,535275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
121,395775.000099999830127,607775.000099999830127,400775.000099999830127,602775.000099999830127,398275.000099999830127,605275.000099999713711,"-9999","6200","1889","82","8260","23231","0","0","0","0","0","0","0","0","0","338"
122,395775.000099999830127,602775.000099999830127,400775.000099999830127,597775.000099999830127,398275.000099999830127,600275.000099999713711,"-9999","6200","6391","292","1797","18499","0","0","2080","4247","0","0","0","213","0","281"
123,395775.000099999830127,597775.000099999830127,400775.000099999830127,592775.000099999830127,398275.000099999830127,595275.000099999713711,"0","6200","479","17638","0","643","0","0","1314","13414","239","0","0","73","0","0"
124,395775.000099999830127,592775.000099999830127,400775.000099999830127,587775.000099999830127,398275.000099999830127,590275.000099999713711,"0","6200","22","15535","0","3352","0","0","8790","373","5436","0","288","0","0","4"
125,395775.000099999830127,587775.000099999830127,400775.000099999830127,582775.000099999830127,398275.000099999830127,585275.000099999713711,"0","6200","1529","798","156","22334","0","0","3106","3661","1870","0","0","0","0","346"
126,395775.000099999830127,582775.000099999830127,400775.000099999830127,577775.000099999830127,398275.000099999830127,580275.000099999713711,"0","3441","892","153","508","32240","0","0","2459","0","0","0","0","0","0","307"
